id,product_sync_code,product_group,product_code,sku,msku,active,minimum_price,link_tiki,link_lazada,link_shopee,link_sendo
170,Orico UTJ-U2 (B),Orico,ORICO-UTJ-U2,5576267311005,8726030403414,0,183000,https://tiki.vn/bo-chuyen-usb-2-0-sang-cong-lan-orico-utj-u2-usb-to-lan-hang-chinh-hang-p9358144.html,,,
171,Orico UTJ-U3 (B),Orico,ORICO-UTJ-U3,5507283519892,7506201839058,1,302000,https://tiki.vn/bo-chuyen-usb-3-0-sang-cong-lan-giga-orico-utj-u3-hang-chinh-hang-p682191.html,,,
172,Orico UTS-12 (B),Orico,,8816209875354,5967127779545,0,106000,https://tiki.vn/cap-sac-dien-thoai-3-trong-1-lightning-type-c-micro-b-usb-2-0-mau-ngau-nhien-p9359889.html,,,
173,Orico UTS-12 (Bl),Orico,,7785529580730,5967127779545,0,106000,https://tiki.vn/cap-sac-dien-thoai-3-trong-1-lightning-type-c-micro-b-usb-2-0-mau-ngau-nhien-p9359889.html,,,
174,Orico HCU-10 (Y),Orico,ORICO-HCU-10-Y,9863974558240,1358904736013,0,117000,https://tiki.vn/cap-sac-type-c-2-0-orico-hcu-10-1m-hang-chinh-hang-p683902.html,,,
175,Orico UTS-12 (Bl),Orico,ORICO-UTS-12-BL,5391207873524,5967127779545,1,106000,https://tiki.vn/cap-sac-dien-thoai-3-trong-1-lightning-type-c-micro-b-usb-2-0-mau-ngau-nhien-p9359889.html,,,
176,Orico HCU-10 (Pi),Orico,ORICO-HCU-10-PI,1786395166932,1354004013320,0,117000,https://tiki.vn/cap-sac-type-c-2-0-orico-hcu-10-1m-hang-chinh-hang-p683902.html,,,
177,Orico PUG-C6-20,Orico,ORICO-PUG-C6-20,4650712544505,7447293564940,1,39000,https://tiki.vn/day-cap-mang-orico-pug-c6-20-cat6-2m-hang-chinh-hang-p1821405.html,,,
178,Orico HCU-10 (Gr),Orico,ORICO-HCU-10-GR,4168204147214,1353961093086,0,117000,https://tiki.vn/cap-sac-type-c-2-0-orico-hcu-10-1m-hang-chinh-hang-p683902.html,,,
179,Orico PUG-C6-30,Orico,ORICO-PUG-C6-30,3643330309688,3498717270033,1,45000,https://tiki.vn/day-cap-mang-orico-pug-c6-30-cat6-3m-hang-chinh-hang-p1822173.html,,,
